Document ID,Question,Label
Doc-100,apakah saya sudah diperbolehkan hamil lagi,Information
Doc-100,berapa kali maksimal boleh melahirkan secara caesar,Information
Doc-101,akan tetapi kenapa ya timbul urat urat menyembul di seputar tangan dan betis,Cause
Doc-101,apa saya harus mengurangi frekuensi olahraga saya selama ini,Management
Doc-104,mohon informasinya dokter apakah yang terjadi,Diagnosis
Doc-104,apakah saya harus memeriksakan hidung saya sinus telinga atau kepala,PersonORG
Doc-105,apakah itu ciri ciri kanker otak,Manifestation
Doc-106,apakah efek samping dan apa yang akan terjadi dengan anak tersebut,Complication
Doc-106,apakah anak tersebut bisa lekas sembuh dan normal kembali,Prognosis
Doc-107,itu kenapa ya dok,Cause
Doc-108,apakah gejala hamil atau kah tumor,Diagnosis
Doc-109,kalau umur segitu apa gejala awal sebenarnya dok,Manifestation
Doc-109,apa benar y dok itu adalah gejala infeksi lambung,Manifestation
Doc-111,sebetulnya saya sakit apa ya dok,Diagnosis
Doc-111,apa obatnya,Management
Doc-111,makanan apa yang harus dimakan dan hatus dipantang,Management
Doc-113,apakah penyebabnya,Cause
Doc-113,kira kira penyakit apa itu dok,Diagnosis
Doc-113,apakah berbahaya,Prognosis
Doc-114,apakah gejala yang saya alami ini sudah bisa dikatakan vertigo,Diagnosis
Doc-114,apakah ada kaitannya antara darah kental dengan vertigo,Information
Doc-114,apakah sudah benar dengan obat yang saya mnm betaserc dan flunarizine,Management
Doc-114,tetapi kenapa masih terasa sama ya dok,Prognosis
Doc-114,sebaiknya saya periksa kedokter apa ya dok,PersonORG
Doc-115,apakah hepatitis yang diderita teman saya belum sembuh,Diagnosis
Doc-115,bisakah hepatitis sembuh total dok,Prognosis
Doc-115,apakah perlu teman saya memeriksakan kembali setelah 4 thn ini,Prognosis
Doc-116,apa kah yang saya alami ini gejala awal gonore dok,Diagnosis
Doc-117,tumor apa dok,Diagnosis
Doc-119,sebenarnya apa yang terjadi dengan saya,Diagnosis
Doc-119,apakah saya memang mengidap adhd atau saya mengalami perkembangan mental yang buruk,Diagnosis
Doc-119,apa yang harus saya lakukan,Management
Doc-12,apakah bisa menular dokter,Susceptibility
Doc-121,apakah bisa di obati,Management
Doc-123,apakah sulit berjalan itu hanya efek smentara atau efek yang berkelanjutan karena darah tinggi,Complication
Doc-123,bagaimana cara mengatasi penyakit tersebut,Management
Doc-125,apa penyebabnya virus tersebut berkembang sangat lambat,Information
Doc-125,apabila saya menikah dalam waktu dekat apakah diperbolehkan,Information
Doc-125,harus menunggu sampai virus tersebut hasilnya negatif,Information
Doc-126,apakah karena pengaruh dbd yang belum sembuh atau memang karena pengaruh gula dan tekanan darah yang tinggi,Complication
Doc-126,apakah ada alternatif obat lain untuk gula darah selain suntik insulin,Management
Doc-126,makanan yang disarankan untuk menurunkan dan menstabilkan gula darah,Management
Doc-126,kapan sebaiknya ayah saya bisa melakukan olah raga,Management
Doc-126,makanan apa yang disarankan untuk mempercepat pemulihan gula darah dan tekanan darahnya,Management
Doc-126,apakah bisa selama masa penyembuhan ini mengkonsumsi beras merah,Management
Doc-126,apakah masih aman jika ayah saya masih mengkonsumsi nasi,Management
Doc-126,apakah ayah saya bisa pulih berat badannya dok,Prognosis
Doc-128,apakah bisa mendapat kan imunisasi ulang di usia 12 tahun,Information
Doc-129,mengapa setiap pup selalu menangis dan mengeden sampai berkeringat dan pup nya itu 3 hari sekali,Cause
Doc-129,mengapa demikian yah dok,Cause
Doc-13,apakah itu wajar atau normal,Diagnosis
Doc-130,sebaikny diksh apa ya dok,Management
Doc-131,bagaimana dengan gejala klinis seperti sering buang air kecil kesemutan dan penurunan brt badan yang cukup drastis,Manifestation
Doc-131,kemudian yang dimaksud reaksi kimia yang menyebabkan kadar glukosa mjd tinggi apa,Information
Doc-132,apakah ada cara untuk tidak sakit saat haid,Management
Doc-132,apa bisa setelah nikah tidak nyeri lagi saat haid,Information
Doc-132,apa yang saya alami ini tidak wajar,Information
Doc-132,apakah sangat berbahaya,Prognosis
Doc-133,adakah ini menunjukkan simtom yang tidak baik atau suatu kebiasaan,Manifestation
